datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-31,564,6246987,131617.0,0,237775,9624979,10949459
2020-08-31,96,9087227,13958.0,0,324005,10782643,15106631
2020-09-30,58,2214218,668.7281044655958,0,128713,293163,3200979
2020-10-31,212,15233076,36234.79457500852,0,408391,9491621,17287937
2020-11-30,4,921870,489.3082346590538,0,115035,1147718,2073564
2020-12-31,34,1901355,16705.683299574703,0,83604,5741743,4876851
2021-01-31,28,3880932,709.6909224854672,0,147301,691865,4085637
2021-02-28,37,1092041,1575.7831385129887,0,59502,258316,2480590
2021-03-31,66,7422499,1226.5873082509772,0,141363,944646,10198558
2021-04-30,70,1441937,746.6673120455872,0,90600,425334,2593552
2021-05-31,211,4566013,35012.375441873904,0,226532,6768706,12169737
2021-06-30,212,4176414,904.2336527512944,0,170835,559519,4633070
2021-07-31,808,16963530,15149.783960909139,0,490715,15855590,23660130
2021-08-31,1210,21830948,50813.99773366743,0,477909,14446774,28709051
2021-09-30,183,9618921,15268.252056309617,0,336198,10206099,14763437
2021-10-31,63,3463547,19180.432297765834,0,145627,2386383,6412747
2021-11-30,71,1687105,10661.988341062868,0,141106,2347490,4752163
2021-12-31,428,7043186,29774.407421775086,0,261989,15766894,16993742
2022-01-31,1721,33015218,167076.78743530822,0,1542446,84799164,102015187
2022-02-28,667,116981003,61801.00465609004,0,3089716,17715574,143590690
2022-03-31,22,1493580,2603.077553911031,0,59600,2166581,1660830
2022-04-30,26,1640911,955.6686012075405,0,81965,390792,2462988
2022-05-31,75,8059236,2206.343838335503,0,205137,2012995,9343698
2022-06-30,42,2954733,2811.110625309599,0,68379,2474000,4403984
2022-07-31,140,13175674,2880.3305262573685,0,272509,1918603,13541821
2022-08-31,395,22698538,1360.9043216157818,0,429469,3014073,26651542
2022-09-30,18,1768673,1588.9381666643444,0,73593,1363683,3887258
2022-10-31,183,9654286,2326.969668888198,0,214258,5989380,13134346
2022-11-30,15,1582533,566.3748107502922,0,47711,242362,2107565
2022-12-31,8,1053807,2089.3433645695454,0,46658,1844588,5613324
2023-01-31,842,26732972,15871.6284668231,0,532849,9413884,37830355
2023-02-28,131,8080171,82168.61744704057,0,417731,34168761,37777422
